         0         0
    0.1000    0.0100
    0.2000    0.0400
    0.3000    0.0900
    0.4000    0.1600
    0.5000    0.2500
    0.6000    0.3600
    0.7000    0.4900
    0.8000    0.6400
    0.9000    0.8100
    1.0000    1.0000
    1.1000    1.2100
    1.2000    1.4400
    1.3000    1.6900
    1.4000    1.9600
    1.5000    2.2500
    1.6000    2.5600
    1.7000    2.8900
    1.8000    3.2400
    1.9000    3.6100
    2.0000    4.0000
    2.1000    4.4100
    2.2000    4.8400
    2.3000    5.2900
    2.4000    5.7600
    2.5000    6.2500
    2.6000    6.7600
    2.7000    7.2900
    2.8000    7.8400
    2.9000    8.4100
    3.0000    9.0000
    3.1000    9.6100
    3.2000   10.2400
    3.3000   10.8900
    3.4000   11.5600
    3.5000   12.2500
    3.6000   12.9600
    3.7000   13.6900
    3.8000   14.4400
    3.9000   15.2100
    4.0000   16.0000
